Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DOM JOAQUIM FERREIRA DE MELLO;43101364;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R GENERAL OSORIO 1101 CASA, 1101 CASA. CENTRO. 96020-000 Pelotas - RS.";(53) 32289148;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.75743;-52.34406
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DR JOSE BRUSQUE FILHO;43101372;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R VISCONDE DE JAGUARY 150, 150 CENTRO. 96010-530 Pelotas - RS.";(53) 32787277;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.77877;-52.33014
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF DR ALCIDES DE MENDONCA LIMA;43101380;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PADRE DIOGO FEIJO, 213 FRAGATA. 96030-720 Pelotas - RS.";(53) 32811794;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-31.75973;-52.3754
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED DR ANTONIO LEIVAS LEITE;43101399;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R LEOPOLDO DE SOUZA SOARES 333, 333 TRES VENDAS. 96060-460 Pelotas - RS.";(53) 32231601;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-31.72661;-52.3308
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DR ARMANDO FAGUNDES;43101402;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R CRUZ SECCO 239 GOTUZZO, 239 GOTUZZO. FRAGATA. 96045-480 Pelotas - RS.";(53) 32716110;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-31.7446;-52.39445
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED DR AUGUSTO SIMOES LOPES;43101410;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R AFONSO ARINOS 91, 91 SIMOES LOPES. 96025-010 Pelotas - RS.";(53) 32254611;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-31.77242;-52.35538
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF DR BALBINO MASCARENHAS;43101429;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JORNALISTA CANDIDO DE MELLO, 415 FRAGATA. 96025-220 Pelotas - RS.";(53) 32225216;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-31.76951773;-52.35520571
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DR FRANCISCO SIMOES;43101437;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R QUINZE DE NOVEMBRO 263, 263 CENTRO. 96015-000 Pelotas - RS.";(53) 32786044;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-31.77663;-52.34482
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF DOUTOR BRUM AZEREDO;43101445;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MANOEL LUCAS DE OLIVEIRA, 1290 FRAGATA. 96030-370 Pelotas - RS.";(53) 32247160;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-31.76197;-52.37018
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF DR JOAQUIM ASSUMPCAO;43101453;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALMIRANTE BARROSO, 1679 CENTRO. 96010-280 Pelotas - RS.";(53) 32222553;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-31.7727;-52.33806
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DR OTTONI XAVIER;43101461;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R FRONTINO VIEIRA 490, 490 FRAGATA. 96040-700 Pelotas - RS.";(53) 32292913;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.75174;-52.37797
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF BIBIANO DE ALMEIDA;43101470;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DA PAZ, 80 AREAL. 96077-210 Pelotas - RS.";(53) 32284128;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-31.75548;-52.31784
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL ESTADUAL FELIX DA CUNHA;43101488;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R BENJAMIN CONSTANT 1459 CASA, 1459 CASA. CENTRO. 96010-020 Pelotas - RS.";(53) 32786677;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-31.77955;-52.34065
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN FERNANDO TREPTOW;43101496;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R ERNANI FORNARI 221, 221 FRAGATA. 96040-290 Pelotas - RS.";(53) 32211890;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-31.75696;-52.36736
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF FERREIRA VIANNA;43101500;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO THOMAS MUNHOZ, 86 BALSA. 96075-770 Pelotas - RS.";(53) 32222544;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-31.7787;-52.32268
